ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,Embedding,ScoreType,Score,Rank,ID2,GPT4oScore1,GPT4oScore2,Topic,Gender_org,Gender,Age,Nationality,Ethnicity_org,Multiple_Ethnicity,Ethnicity,Ethnicity1,Highest_Degree_org,Education1,Education_EMNLP,Education,Education3,Education2,Handedness,Language,SpecificLanguage,Exposure_Age,Exposure_Length,Length_of_Stay,Writing_Interest,Writing_Strength,P_burst,R_burst,MeanPause,WithinWordPause,BetweenWordPause,MeanDeletion,ProportionDeletion,MeanInsertion,ProportionInsertion,IntervalVariance,MTLD,TUnitLength,DependencyDepth,DependencyCosSim,Readability,LSACohesion,ArgumentOverlap,ConnectiveVariety,Claude3.7Score1,Claude3.7Score2
15405796,8.822700158,-0.464392225,-4.986741904,-15.14744894,-1.424187394,-2.501542432,6.661676012,0.984532951,-0.99199323,2.403688011,-0.41126432,-3.955223472,-0.060094237,Claude3.7,4,2193,15405796a,4,4,App,Woman,Women,42,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,4,31.87179487,26.16842105,1.882665375,0.469889881,0.863613971,2.422222222,0.042003854,17.75714286,0.957996146,146.2328432,87.6781,9.9348,2.4923,0.479,85.49,0.006,0.1007,0.1528,4,4
14981579,12.35420263,2.75798747,-9.569129162,-0.217508591,6.95167018,-2.18361272,-0.734372741,0.969616108,-1.453471999,1.018209604,-6.855135464,1.353152223,-0.174120567,GPT4o,3,3780,14981579a,3,3,App,Woman,Women,25,United States of America,White,NA,White,White,Associate degree,HighSchool&Other,Bach,Bachelor,Coll,SomeCollegeCredit,right-handed,English,NA,NA,NA,NA,3,4,38.63461538,12.96129032,1.725032749,0.563425339,1.661338843,3.311688312,0.112632509,17.77876106,0.887367491,160.7444141,73.7176,9.7714,2.4386,0.4934,85.28,0.0178,0.0918,0.0694,3,3
14981579,12.35420263,2.75798747,-9.569129162,-0.217508591,6.95167018,-2.18361272,-0.734372741,0.969616108,-1.453471999,1.018209604,-6.855135464,1.353152223,-0.174120567,Human,3,3780,14981579a,3,3,App,Woman,Women,25,United States of America,White,NA,White,White,Associate degree,HighSchool&Other,Bach,Bachelor,Coll,SomeCollegeCredit,right-handed,English,NA,NA,NA,NA,3,4,38.63461538,12.96129032,1.725032749,0.563425339,1.661338843,3.311688312,0.112632509,17.77876106,0.887367491,160.7444141,73.7176,9.7714,2.4386,0.4934,85.28,0.0178,0.0918,0.0694,3,3
14981579,12.35420263,2.75798747,-9.569129162,-0.217508591,6.95167018,-2.18361272,-0.734372741,0.969616108,-1.453471999,1.018209604,-6.855135464,1.353152223,-0.174120567,Claude3.7,3,3780,14981579a,3,3,App,Woman,Women,25,United States of America,White,NA,White,White,Associate degree,HighSchool&Other,Bach,Bachelor,Coll,SomeCollegeCredit,right-handed,English,NA,NA,NA,NA,3,4,38.63461538,12.96129032,1.725032749,0.563425339,1.661338843,3.311688312,0.112632509,17.77876106,0.887367491,160.7444141,73.7176,9.7714,2.4386,0.4934,85.28,0.0178,0.0918,0.0694,3,3
85822882,-4.910136247,7.732498327,-1.850863234,-9.457895567,1.077301254,-8.191208544,2.738729784,-0.065049259,-1.037464989,1.081963053,-1.399924863,0.676947502,-0.125568081,Human,3.5,438,85822882a,3,3,Comp,Woman,Women,45,United States of America,White,NA,White,White,Master,Master&Above,Mas,Graduate,Mas,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,5,40.35294118,17.00826446,1.79460643,0.732757653,2.471976316,2.233333333,0.061131387,20.37623762,0.938868613,224.1233787,61.8643,9.7179,2.4011,0.5651,84.47,0.0124,0.1283,0.0972,3,3
85822882,-4.910136247,7.732498327,-1.850863234,-9.457895567,1.077301254,-8.191208544,2.738729784,-0.065049259,-1.037464989,1.081963053,-1.399924863,0.676947502,-0.125568081,GPT4o,3,438,85822882a,3,3,Comp,Woman,Women,45,United States of America,White,NA,White,White,Master,Master&Above,Mas,Graduate,Mas,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,5,40.35294118,17.00826446,1.79460643,0.732757653,2.471976316,2.233333333,0.061131387,20.37623762,0.938868613,224.1233787,61.8643,9.7179,2.4011,0.5651,84.47,0.0124,0.1283,0.0972,3,3
85822882,-4.910136247,7.732498327,-1.850863234,-9.457895567,1.077301254,-8.191208544,2.738729784,-0.065049259,-1.037464989,1.081963053,-1.399924863,0.676947502,-0.125568081,Claude3.7,3,438,85822882a,3,3,Comp,Woman,Women,45,United States of America,White,NA,White,White,Master,Master&Above,Mas,Graduate,Mas,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,5,40.35294118,17.00826446,1.79460643,0.732757653,2.471976316,2.233333333,0.061131387,20.37623762,0.938868613,224.1233787,61.8643,9.7179,2.4011,0.5651,84.47,0.0124,0.1283,0.0972,3,3
32946438,-5.097662609,-10.24630301,-5.117666417,-11.99898644,2.694712159,-10.34982577,1.449593286,-1.31263482,-7.827402838,1.725681647,-1.156158255,1.306592081,-0.14576572,Human,3,184,32946438a,2,2,Happ,Woman,Women,33,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,4,16.11940299,25.71428571,1.834615307,0.664587189,2.523478261,1.7,0.030520646,38.57142857,0.969479354,36.18778185,63.0758,10.8947,2.3043,0.6004,84.47,0.03,0.1576,0.125,2,2
32946438,-5.097662609,-10.24630301,-5.117666417,-11.99898644,2.694712159,-10.34982577,1.449593286,-1.31263482,-7.827402838,1.725681647,-1.156158255,1.306592081,-0.14576572,GPT4o,2,184,32946438a,2,2,Happ,Woman,Women,33,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,4,16.11940299,25.71428571,1.834615307,0.664587189,2.523478261,1.7,0.030520646,38.57142857,0.969479354,36.18778185,63.0758,10.8947,2.3043,0.6004,84.47,0.03,0.1576,0.125,2,2
32946438,-5.097662609,-10.24630301,-5.117666417,-11.99898644,2.694712159,-10.34982577,1.449593286,-1.31263482,-7.827402838,1.725681647,-1.156158255,1.306592081,-0.14576572,Claude3.7,2,184,32946438a,2,2,Happ,Woman,Women,33,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,4,16.11940299,25.71428571,1.834615307,0.664587189,2.523478261,1.7,0.030520646,38.57142857,0.969479354,36.18778185,63.0758,10.8947,2.3043,0.6004,84.47,0.03,0.1576,0.125,2,2
73450680,-2.034549084,-4.485736259,-7.569970046,-11.62515793,2.968982532,-7.132880651,-0.678637525,1.655604628,1.721471127,0.815791792,-4.259657511,-1.639297388,-0.124821481,Human,4.5,3010,73450680a,4,4,Happ,Woman,Women,38,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,2,3,45.66666667,21.40625,1.027180645,0.437091858,0.788242054,3.54954955,0.075929852,18.44230769,0.924070148,229.5465337,68.512,9.4933,2.6152,0.4641,84.37,0.0068,0.1442,0.125,3,4
73450680,-2.034549084,-4.485736259,-7.569970046,-11.62515793,2.968982532,-7.132880651,-0.678637525,1.655604628,1.721471127,0.815791792,-4.259657511,-1.639297388,-0.124821481,GPT4o,4,3010,73450680a,4,4,Happ,Woman,Women,38,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,2,3,45.66666667,21.40625,1.027180645,0.437091858,0.788242054,3.54954955,0.075929852,18.44230769,0.924070148,229.5465337,68.512,9.4933,2.6152,0.4641,84.37,0.0068,0.1442,0.125,3,4
73450680,-2.034549084,-4.485736259,-7.569970046,-11.62515793,2.968982532,-7.132880651,-0.678637525,1.655604628,1.721471127,0.815791792,-4.259657511,-1.639297388,-0.124821481,Claude3.7,3.5,3010,73450680a,4,4,Happ,Woman,Women,38,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,2,3,45.66666667,21.40625,1.027180645,0.437091858,0.788242054,3.54954955,0.075929852,18.44230769,0.924070148,229.5465337,68.512,9.4933,2.6152,0.4641,84.37,0.0068,0.1442,0.125,3,4
57845455,-8.24463166,-12.24866613,-8.158470537,-3.361613977,2.431880884,-2.327284302,5.498380278,0.331901812,2.78598831,6.203019806,-3.635210059,-1.797734417,-0.054311247,GPT4o,3,2564,57845455a,3,3,Happ,Woman,Women,70,United States of America,White,NA,White,White,"High school graduate, diploma or the equivalent (for example: GED)",HighSchool&Other,HS,HSBelow,HS,HighSchool,left-handed,English,NA,NA,NA,NA,5,5,88.06666667,264.2,1.081590674,0.36440404,0.385583529,2,0.003018868,41.28125,0.996981132,140.9566127,47.2727,10.4,2.4192,0.5168,84.37,0.0511,0.1675,0.0833,2,2
57845455,-8.24463166,-12.24866613,-8.158470537,-3.361613977,2.431880884,-2.327284302,5.498380278,0.331901812,2.78598831,6.203019806,-3.635210059,-1.797734417,-0.054311247,Human,3,2564,57845455a,3,3,Happ,Woman,Women,70,United States of America,White,NA,White,White,"High school graduate, diploma or the equivalent (for example: GED)",HighSchool&Other,HS,HSBelow,HS,HighSchool,left-handed,English,NA,NA,NA,NA,5,5,88.06666667,264.2,1.081590674,0.36440404,0.385583529,2,0.003018868,41.28125,0.996981132,140.9566127,47.2727,10.4,2.4192,0.5168,84.37,0.0511,0.1675,0.0833,2,2
57845455,-8.24463166,-12.24866613,-8.158470537,-3.361613977,2.431880884,-2.327284302,5.498380278,0.331901812,2.78598831,6.203019806,-3.635210059,-1.797734417,-0.054311247,Claude3.7,2,2564,57845455a,3,3,Happ,Woman,Women,70,United States of America,White,NA,White,White,"High school graduate, diploma or the equivalent (for example: GED)",HighSchool&Other,HS,HSBelow,HS,HighSchool,left-handed,English,NA,NA,NA,NA,5,5,88.06666667,264.2,1.081590674,0.36440404,0.385583529,2,0.003018868,41.28125,0.996981132,140.9566127,47.2727,10.4,2.4192,0.5168,84.37,0.0511,0.1675,0.0833,2,2
75605086,-10.16083193,-7.060815346,-7.379536898,-4.602007123,-3.490497407,-7.683131231,5.370347659,-4.346191997,3.145179363,1.554300689,3.225558451,0.538378195,-0.06608625,Human,3,1975,75605086a,2,2,Happ,Man,Men,30,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,4,5,34.31578947,15.1627907,1.370096829,0.399522388,0.638383598,1.928571429,0.058483755,17.8630137,0.941516245,153.7488573,47.6868,10.7727,2.2152,0.5823,84.37,0.028,0.1617,0.0694,2,2
75605086,-10.16083193,-7.060815346,-7.379536898,-4.602007123,-3.490497407,-7.683131231,5.370347659,-4.346191997,3.145179363,1.554300689,3.225558451,0.538378195,-0.06608625,GPT4o,2,1975,75605086a,2,2,Happ,Man,Men,30,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,4,5,34.31578947,15.1627907,1.370096829,0.399522388,0.638383598,1.928571429,0.058483755,17.8630137,0.941516245,153.7488573,47.6868,10.7727,2.2152,0.5823,84.37,0.028,0.1617,0.0694,2,2
75605086,-10.16083193,-7.060815346,-7.379536898,-4.602007123,-3.490497407,-7.683131231,5.370347659,-4.346191997,3.145179363,1.554300689,3.225558451,0.538378195,-0.06608625,Claude3.7,2,1975,75605086a,2,2,Happ,Man,Men,30,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,4,5,34.31578947,15.1627907,1.370096829,0.399522388,0.638383598,1.928571429,0.058483755,17.8630137,0.941516245,153.7488573,47.6868,10.7727,2.2152,0.5823,84.37,0.028,0.1617,0.0694,2,2
52711197,-10.84672316,-16.33293773,-5.77692021,-1.565131012,-8.618737736,-6.701967771,0.711982072,-9.751271687,3.073647074,5.64096676,-4.095589396,-7.829811801,-0.014494937,GPT4o,1,2190,52711197a,1,1,Happ,Man,Men,31,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,5,19.51219512,10.66666667,1.354579508,0.433463519,0.738423237,4.428571429,0.175682638,14.67889908,0.824317362,131.0385863,54.8318,10.7,2.2103,0.5775,84.07,0.0427,0.0469,0.0556,2,2
52711197,-10.84672316,-16.33293773,-5.77692021,-1.565131012,-8.618737736,-6.701967771,0.711982072,-9.751271687,3.073647074,5.64096676,-4.095589396,-7.829811801,-0.014494937,Human,1,2190,52711197a,1,1,Happ,Man,Men,31,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,5,19.51219512,10.66666667,1.354579508,0.433463519,0.738423237,4.428571429,0.175682638,14.67889908,0.824317362,131.0385863,54.8318,10.7,2.2103,0.5775,84.07,0.0427,0.0469,0.0556,2,2
52711197,-10.84672316,-16.33293773,-5.77692021,-1.565131012,-8.618737736,-6.701967771,0.711982072,-9.751271687,3.073647074,5.64096676,-4.095589396,-7.829811801,-0.014494937,Claude3.7,2,2190,52711197a,1,1,Happ,Man,Men,31,United States of America,White,NA,White,White,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,5,5,19.51219512,10.66666667,1.354579508,0.433463519,0.738423237,4.428571429,0.175682638,14.67889908,0.824317362,131.0385863,54.8318,10.7,2.2103,0.5775,84.07,0.0427,0.0469,0.0556,2,2
19574094,-6.246565171,-5.450217075,-6.48622915,-12.49036569,1.587849178,-1.775533209,2.627369462,7.609634729,-5.246546419,3.144457499,1.320296166,2.347858995,-0.135612197,GPT4o,3,3068,19574094a,3,3,Happ,Woman,Women,29,United States of America,White,NA,White,White,"High school graduate, diploma or the equivalent (for example: GED)",HighSchool&Other,HS,HSBelow,HS,HighSchool,right-handed,English,NA,NA,NA,NA,4,4,43,14.99487179,0.811585504,0.404979618,0.52683068,4.257731959,0.12376386,16.9017341,0.87623614,135.8235784,62.3066,9.8421,2.4225,0.564,83.96,0.0167,0.1836,0.0972,3,3
19574094,-6.246565171,-5.450217075,-6.48622915,-12.49036569,1.587849178,-1.775533209,2.627369462,7.609634729,-5.246546419,3.144457499,1.320296166,2.347858995,-0.135612197,Human,3,3068,19574094a,3,3,Happ,Woman,Women,29,United States of America,White,NA,White,White,"High school graduate, diploma or the equivalent (for example: GED)",HighSchool&Other,HS,HSBelow,HS,HighSchool,right-handed,English,NA,NA,NA,NA,4,4,43,14.99487179,0.811585504,0.404979618,0.52683068,4.257731959,0.12376386,16.9017341,0.87623614,135.8235784,62.3066,9.8421,2.4225,0.564,83.96,0.0167,0.1836,0.0972,3,3
19574094,-6.246565171,-5.450217075,-6.48622915,-12.49036569,1.587849178,-1.775533209,2.627369462,7.609634729,-5.246546419,3.144457499,1.320296166,2.347858995,-0.135612197,Claude3.7,3,3068,19574094a,3,3,Happ,Woman,Women,29,United States of America,White,NA,White,White,"High school graduate, diploma or the equivalent (for example: GED)",HighSchool&Other,HS,HSBelow,HS,HighSchool,right-handed,English,NA,NA,NA,NA,4,4,43,14.99487179,0.811585504,0.404979618,0.52683068,4.257731959,0.12376386,16.9017341,0.87623614,135.8235784,62.3066,9.8421,2.4225,0.564,83.96,0.0167,0.1836,0.0972,3,3
51733974,-6.197687317,-7.762286556,-6.867626226,-4.133179566,1.065284113,-6.825371743,-1.294452734,-0.027591058,4.593104464,2.328189776,-1.986088023,-0.210506417,-0.04908748,Human,2,4281,51733974a,1,1,Happ,Woman,Women,37,United States of America,Black or African American,NA,African,African,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,4,3,30.42553191,8.827160494,3.207242915,0.472273504,2.16306,3.865853659,0.181453921,13,0.818546079,212.7685232,56.2162,10,2.4,0.4964,83.56,0.0174,0.0757,0.0694,2,2
51733974,-6.197687317,-7.762286556,-6.867626226,-4.133179566,1.065284113,-6.825371743,-1.294452734,-0.027591058,4.593104464,2.328189776,-1.986088023,-0.210506417,-0.04908748,GPT4o,1,4281,51733974a,1,1,Happ,Woman,Women,37,United States of America,Black or African American,NA,African,African,Bachelor,Bachelor,Bach,Bachelor,Bach,Bachelor&Master,right-handed,English,NA,NA,NA,NA,4,3,30.42553191,8.827160494,3.207242915,0.472273504,2.16306,3.865853659,0.181453921,13,0.818546079,212.7685232,56.2162,10,2.4,0.4964,83.56,0.0174,0.0757,0.0694,2,2
